"業界","事例名","その説明","専門用語の解説"
"金融業","レガシーシステムの脱却","長年稼働してきた巨大で複雑な勘定系システム（メインフレーム等）を、拡張性・柔軟性の高いクラウド環境へモダナイゼーションする取り組み。保守コストを削減し、API連携を前提としたアーキテクチャへ刷新することで、新機能開発のリードタイムを劇的に短縮します。","モダナイゼーション: 古くなったITシステムを最新の環境や設計へと刷新すること。 / メインフレーム: 企業の基幹業務を処理するための大型コンピュータ。"
"金融業","生成AIによる業務効率化","膨大な数の稟議書、契約書、目論見書などのドキュメント処理や、コールセンターにおける顧客対応履歴の要約に大規模言語モデル（LLM）を導入。手作業の負担を軽減し、より付加価値の高い提案業務へ人員をシフトさせます。","LLM（大規模言語モデル）: 膨大なテキストデータを学習し、人間のように自然な文章を生成したり要約・翻訳したりできるAIの仕組み。"
"金融業","BaaS (Banking as a Service)","自社の金融機能（決済、融資、口座管理など）をAPIを通じて外部の小売業やサービス業へ提供するモデル。非金融のサービス内に金融機能をシームレスに組み込む「Embedded Finance（組込型金融）」を実現し、新たな収益源を確保します。","API: 異なるソフトウェア同士をつなぎ、機能やデータをやり取りするためのインターフェース。 / Embedded Finance: 非金融企業のサービスの中に金融機能を組み込むこと。"
"金融業","データ主導のリスク管理・コンプライアンス","機械学習モデルを活用し、膨大なトランザクションデータからマネーロンダリング（AML）や不正アクセスなどの異常なパターンをリアルタイムで検知・遮断する高度な監視システムの構築。","AML（アンチ・マネー・ロンダリング）: 犯罪行為などで得た不正な資金の出所を隠す行為（資金洗浄）を防ぐための対策や仕組み。"
"金融業","顧客体験（CX）のパーソナライズ","顧客の資産状況、ライフイベント、ウェブ上の行動履歴などを統合的なデータベースで分析し、一人ひとりに最適なタイミングでパーソナライズされた金融商品や投資信託の提案を自動化するマーケティング基盤の導入。","パーソナライズ: 顧客全員に同じものを提供するのではなく、個人の属性や行動履歴に合わせて最適な情報やサービスを提供すること。"
"金融業","デジタルアセット・Web3の基盤整備","ブロックチェーン技術を活用し、不動産などの実物資産を小口証券化するセキュリティトークン（STO）の取引基盤の構築や、スマートコントラクトによる権利移転の自動化・低コスト化の検証。","セキュリティトークン（STO）: ブロックチェーン技術を用いて発行・管理されるデジタル化された有価証券。 / スマートコントラクト: ブロックチェーン上で契約を自動的に実行する仕組み。"
"金融業","キャッシュレス決済の高度化","銀行の自社アプリにミニアプリ機能を持たせて「スーパーアプリ化」を図る動きや、生体認証（顔や静脈など）と紐付けたデータベース構築により、スマートフォンすら不要な手ぶら決済体験の提供。","スーパーアプリ: 日常生活のあらゆる場面で利用できる統合的なアプリ。その中で動く個別のサービスを「ミニアプリ」と呼ぶ。"
"金融業","サステナブルファイナンス（ESG）","投資先企業のCO2排出量やガバナンス体制といった非財務データを収集し、M&Aにおける無形資産（のれん）の評価や、企業の長期的な企業価値算定に組み込むための高度なデータ分析プラットフォームの構築。","のれん: 企業買収（M&A）の際、買収先の純資産を上回る買収額のこと。ブランド力や顧客基盤などの目に見えない価値（無形資産）を指す。"
"金融業","ゼロトラストセキュリティ","社内外のネットワーク境界に依存せず、すべてのアクセス要求に対して「何も信用しない（ゼロトラスト）」前提で都度認証と認可を行うアーキテクチャの導入。クラウド化やテレワーク普及に伴う情報漏洩リスクを根本から低減します。","ゼロトラスト: 「社内ネットワークは安全」という前提を捨て、すべての通信を疑い、アクセスする度に認証と安全性の確認を行うセキュリティの考え方。"
"金融業","アジャイル開発の定着","数年がかりのウォーターフォール型開発から脱却し、ビジネス部門とエンジニア部門が一体となった小規模なチームを組成。市場の反応を見ながら短いサイクル（スプリント）でシステムを継続的にリリース・改善する組織への変革。","アジャイル開発: 小さな単位で開発とテストを繰り返し、柔軟にシステムを作り上げる手法。対義語は、最初に全ての計画を決めるウォーターフォール型開発。"
"通信・情報通信業","5G SA（Stand Alone）の本格展開","4Gの設備に依存しない純粋な5Gネットワーク（SA構成）の構築。「超低遅延」や「ネットワークスライシング（用途別の回線分割）」技術を活用し、工場におけるロボット制御など法人向けの高度なローカル5Gソリューションを提供します。","ネットワークスライシング: 物理的な1つの通信網を、用途（高速大容量用、低遅延用など）に合わせて仮想的に分割（スライス）して提供する技術。"
"通信・情報通信業","ネットワークの仮想化・クラウド化","これまで専用の通信機器（ハードウェア）で行っていたネットワーク制御を、汎用サーバー上のソフトウェア（vRAN等）で実現する技術。設備投資コストの大幅な削減と、アップデートによる機能追加の迅速化を図ります。","vRAN（仮想化無線アクセスネットワーク）: 携帯電話の基地局の処理を、専用の装置ではなく一般的なサーバー上のソフトウェアで行う技術。"
"通信・情報通信業","スマートシティの基盤構築","通信キャリアがインフラ事業者の強みを活かし、自治体と連携して「都市OS（データ連携基盤）」を構築。街中のIoTセンサーから得られる交通、気象、人流などのデータを統合し、オープンAPIとして多様なサービス開発者に提供します。","都市OS: スマートシティにおいて、様々な分野のデータを集約し、行政や企業が相互に活用できるようにするためのIT基盤。"
"通信・情報通信業","B2B2Xモデルへの転換","自社から一般消費者に直接通信回線を売る（B2C）だけでなく、パートナー企業（B）にプラットフォームを提供し、その企業を通じてエンドユーザー（X）へ新たな価値を届ける共創型のビジネスモデル構築を支えるIT基盤の整備。","B2B2X: 企業（B）が別の企業（B）を支援し、最終的に消費者や別の企業（X）にサービスを提供するビジネスモデルのこと。"
"通信・情報通信業","エッジコンピューティングの普及","全てのデータを中央のクラウドへ送るのではなく、ユーザーの端末に近い通信基地局など（エッジ）でデータ処理を行うMEC（Multi-access Edge Computing）の展開。自動運転や高精細VRなど、リアルタイム性が求められるサービスを支えます。","MEC（エッジコンピューティング）: クラウドサーバーと端末の間（ネットワークの末端＝エッジ）にサーバーを置き、通信の遅延を極限まで減らす技術。"
"通信・情報通信業","Beyond 5G / 6Gに向けた研究開発","次世代の通信規格を見据え、テラヘルツ波の活用や、低軌道衛星・成層圏プラットフォーム（HAPS）を用いた「空・海・宇宙」を含むあらゆる場所でのシームレスな通信網構築に向けた技術的な実証実験。","HAPS（成層圏通信プラットフォーム）: 成層圏を飛行する無人航空機などを通信基地局として利用し、広範囲に通信ネットワークを提供するシステム。"
"通信・情報通信業","通信インフラのAI運用（AIOps）","Pythonなどのスクリプトと機械学習を組み合わせた運用自動化ボットを導入し、巨大なネットワークの障害予兆の検知、トラフィック変動の予測、異常発生時の自動迂回・復旧作業を自律的に行うシステム体制の構築。","AIOps: 人工知能（AI）を活用して、ITシステムの運用管理や障害対応を自動化・高度化するアプローチ。"
"通信・情報通信業","XR（VR/AR/MR）やメタバース事業の推進","大容量かつ低遅延な通信インフラを前提に、スポーツ観戦やライブイベントの没入型体験を提供するVRプラットフォームや、企業向けにバーチャルオフィス空間を提供するメタバース事業のシステム開発。","XR（Cross Reality）: 仮想現実（VR）、拡張現実（AR）、複合現実（MR）といった、現実と仮想世界を融合する技術の総称。"
"通信・情報通信業","グリーンICTの推進","24時間稼働するデータセンターや基地局の膨大な電力消費を抑えるため、AIによる空調の最適制御や、省電力な次世代半導体への移行、再生可能エネルギーのトラッキングシステムの導入など、脱炭素に向けたIT化。","トラッキングシステム: 発電された電力が「いつ、どこで、どの再生可能エネルギー源から作られたか」を追跡し、証明する仕組み。"
"通信・情報通信業","セキュリティのマネージドサービス化","サイバー攻撃の高度化に悩む法人顧客に対し、通信回線とセットでゼロトラスト基盤や24時間365日のセキュリティ監視センター（SOC）機能を包括的に提供するセキュリティビジネスのシステム基盤拡張。","SOC（Security Operation Center）: サイバー攻撃の監視、検知、分析、対応を24時間体制で行う専門組織や拠点。"
"公共・官公庁・自治体","ガバメントクラウドへの移行","各自治体が個別に構築・運用していた住民基本台帳や税務などの基幹業務システムを、国が定めた統一のクラウド環境（ガバメントクラウド）へ移行・標準化するプロジェクト。システム改修の二重投資を防ぎ、全国均一のサービスを実現します。","ガバメントクラウド: 政府や地方自治体が共同で利用するために国が整備する、セキュリティ基準を満たした共通のクラウドサービス基盤。"
"公共・官公庁・自治体","マイナンバーカードの利活用拡大","健康保険証や運転免許証の機能統合、給付金の迅速な支給のための公金受取口座の紐付けなど、マイナンバーを中心としたシステム間連携インフラの構築。一度提出した情報は二度求めない「ワンスオンリー」の実現を目指します。","ワンスオンリー: 行政手続きにおいて、一度提出した個人情報や証明書類を、別の手続きで何度も提出し直す必要がないようにする原則。"
"公共・官公庁・自治体","データ連携基盤（都市OS）の整備","国、自治体、民間企業が持つ多様なデータを、相互に安全かつ標準的なAPI形式でやり取りするためのプラットフォーム構築。これにより、引越し手続きのワンストップ化や、災害時の広域な情報共有が可能になります。","API形式: 異なるシステム間でデータをやり取りする際の、共通のルールや接続口のこと。"
"公共・官公庁・自治体","行政手続きのUI/UX改善","高齢者から若者まで「誰一人取り残されない」デジタル社会の実現に向け、スマートフォンから迷わず直感的に操作できるデザイン思考（ユーザー中心設計）を取り入れたポータルサイトや行政アプリの再構築。","UI/UX: UI（ユーザーインターフェース）は画面のデザインや操作性、UX（ユーザーエクスペリエンス）はそれを通じて得られる利用者の体験や満足度。"
"公共・官公庁・自治体","生成AI（LLM）の行政活用","個人情報の取り扱いに配慮したセキュアな閉域環境でのLLM導入。膨大な過去の答弁データに基づく議事録作成の半自動化、条例案のドラフト作成支援、住民からの問い合わせに24時間対応するチャットボットの開発。","閉域環境: インターネットなどの外部ネットワークから切り離され、限られた利用者だけが安全にアクセスできるネットワーク環境。"
"公共・官公庁・自治体","防災・減災のデジタル化","河川の水位センサー、気象衛星データ、住民のスマートフォンのGPS情報をリアルタイムに統合・解析し、AIによる精緻な被害予測シミュレーションと、個人に最適化された避難ルートの自動通知を行うシステムの構築。","リアルタイム処理: データが発生した瞬間に、即座にそれを処理して結果を反映させるシステムのこと。"
"公共・官公庁・自治体","教育DX（GIGAスクール構想の発展）","全国の小中学生に配布された1人1台端末を活用し、学習ドリルやテストの解答データをクラウド上に蓄積。AIが個人の理解度や苦手分野を分析し、最適なプログラミング課題や学習コンテンツを提供するアダプティブラーニング基盤の整備。","アダプティブラーニング: 学習者一人ひとりの理解度や進捗に合わせて、AIが最適な学習内容やレベルを自動的に調整して提供する教育手法。"
"公共・官公庁・自治体","スマート農業・水産業の支援","高齢化による担い手不足が深刻な一次産業に対し、自治体が主導してドローンによる農薬散布、センサーを用いた水温・土壌の自動管理、収穫時期を予測するAIシステムの導入を補助・推進するデータ基盤構築。","一次産業: 農業、林業、水産業など、自然界の資源を直接採取する産業のこと。"
"公共・官公庁・自治体","次世代の自治体情報セキュリティ","インターネット接続系とマイナンバー等を扱う基幹系を完全に物理分離する従来の「三層分離」モデルを見直し、利便性と安全性を両立するため、クラウドとゼロトラスト技術を組み合わせた新たなセキュリティアーキテクチャへの移行。","三層分離: 自治体のネットワークを「マイナンバー利用系」「庁内業務系」「インターネット接続系」の3つに完全に分割し、情報漏洩を防ぐ手法。"
"公共・官公庁・自治体","デジタル人材の外部登用と育成","庁内のITリテラシー向上とDXプロジェクト推進のため、民間企業でシステム要件定義やプロジェクトマネジメントの経験を持つ専門人材（DX推進アドバイザーなど）を副業や兼業でアサインし、組織改革を伴走支援する仕組み作り。","要件定義: システム開発の初期段階で、「そのシステムで何を実現したいか」「どんな機能が必要か」を明確に決める工程。"
"製造業","スマートファクトリーの高度化","工場のあらゆる製造設備にIoTセンサーを取り付け、稼働状況や温度・振動データをクラウドへ収集。AIを用いた画像認識による不良品の自動検知や、ボトルネックの可視化により、生産ライン全体の歩留まりと効率を劇的に向上させます。","歩留まり（ぶどまり）: 投入した原材料に対して、実際に得られた良品の割合のこと。歩留まりが高いほど生産効率が良い。"
"製造業","デジタルツインの活用","製品の3Dモデルや工場の生産ライン全体をサイバー空間上にそっくりそのまま再現する技術。物理的な試作品を作る前に、仮想空間上で衝突テストや生産シミュレーションを重ねることで、開発リードタイムとコストを大幅に削減します。","デジタルツイン: 現実世界の物理的なモノや環境を、センサーデータ等を用いてデジタル空間上に双子（ツイン）のようにリアルタイムに再現する技術。"
"製造業","サービタイゼーション（コト売り）","製品を売り切って終わりではなく、製品に内蔵された通信モジュールから稼働データを継続的に取得。AIが部品の劣化を予測して故障前に交換を提案する「予知保全」や、月額課金型のサブスクリプションモデルへビジネスモデルを転換するための基盤構築。","予知保全: 機器が故障する前に、センサーデータ等から異常の兆候をAIなどで予測し、適切なタイミングでメンテナンスを行うこと。"
"製造業","サプライチェーンの可視化と強靭化","地政学リスクや自然災害による部品供給の寸断を防ぐため、1次サプライヤーから原材料メーカーに至るまでの複雑なサプライチェーン全体をデータベース化。在庫状況をリアルタイムで共有し、有事の際のリスクを最小化する需給調整システムの導入。","サプライチェーン: 製品の原材料の調達から、製造、在庫管理、配送、販売、消費者に届くまでの連鎖的なシステム全体のこと。"
"製造業","ソフトウェア・ファースト（SDV等）","自動車産業におけるSDV（Software Defined Vehicle）に代表されるように、ハードウェアの性能よりもソフトウェア（OSやアプリケーション）のアップデートによって購入後も製品価値が向上し続けるアーキテクチャへの開発思想・システム構造の転換。","SDV（Software Defined Vehicle）: 車両の機能や性能が、主にソフトウェアによって定義・制御・更新される次世代の自動車のこと。"
"製造業","ジェネレーティブデザイン（生成AI設計）","設計者が強度、素材、重量、製造方法などのパラメーターを入力すると、AIがクラウドの膨大な計算資源を用いて何百通りもの最適な3D設計案を自動生成する技術。人間では思いつかない軽量かつ高強度の形状を導き出します。","ジェネレーティブデザイン: 人間が条件を指定し、AIやアルゴリズムが設計案を自動的に探索・生成・提案する設計手法。"
"製造業","熟練技能のデジタル伝承","定年退職が迫るベテラン技術者の「暗黙知（感覚やノウハウ）」を、スマートグラスのカメラ映像や生体センサーでデータ化。若手社員がAR（拡張現実）マニュアルを通じて直感的に技能を習得できるトレーニングシステムの構築。","暗黙知: 経験や勘に基づく知識で、言葉や文章で表現することが難しいノウハウのこと。対義語は形式知。"
"製造業","カーボンニュートラルへの対応","自社工場（Scope1,2）だけでなく、部品調達から製品の使用・廃棄に至るサプライチェーン全体（Scope3）の温室効果ガス排出量を精緻に算定し、ダッシュボードで可視化・削減シミュレーションを行う環境データプラットフォームの導入。","Scope1,2,3: 企業が排出する温室効果ガスの分類。Scope1は直接排出、Scope2は他社から供給された電気などの使用に伴う間接排出、Scope3は自社以外のサプライチェーン網での排出。"
"製造業","PLM（製品ライフサイクル管理）のクラウド化","企画・設計・生産技術・調達・保守などの各部門がそれぞれ持っていた製品データ（BOMなど）をクラウド上の単一のデータベース（SSOT: Single Source of Truth）に統合し、グローバル拠点でリアルタイムに同時設計を行える環境の整備。","BOM（部品表）: 製品を組み立てるために必要な部品の一覧表。 / SSOT: 「信頼できる唯一の情報源」として、データを一箇所に集約・統合すること。"
"製造業","IT/OTセキュリティの統合","これまでインターネットから隔離されていた工場の制御システム（OT: Operational Technology）がIoT化によって外部ネットワークと繋がることで生じるサイバーリスクに対し、IT部門と工場部門が連携して多層防御や監視（SOC）を行う体制の構築。","OT（Operational Technology）: 工場の機械や設備、インフラシステムなどを直接監視・制御するためのハードウェアやソフトウェアの技術。"
"ヘルスケア・製薬・ライフサイエンス","AI創薬（ドラッグディスカバリー）","数百万以上の化合物データや過去の膨大な医学論文をPython等の機械学習ライブラリを用いて解析。ターゲットとなるタンパク質に結合する新薬候補物質をAIが高速でスクリーニング・生成し、通常10年以上かかる創薬の初期プロセスを数年単位で短縮します。","スクリーニング: 膨大な数の対象（化合物など）の中から、特定の条件に合うものを選別・抽出すること。"
"ヘルスケア・製薬・ライフサイエンス","分散型臨床試験（DCT）","ウェアラブルデバイスやスマートフォンアプリ、オンライン診療システムを連携させ、患者が治験実施医療機関に頻繁に通院しなくても、自宅にいながら日常のバイタルデータを収集・送信できる新しい治験プラットフォームの構築。","DCT（分散型臨床試験）: 医療機関への来院に依存せず、遠隔地の患者の自宅などでデータを収集して進める臨床試験（治験）の手法。"
"ヘルスケア・製薬・ライフサイエンス","電子カルテのクラウド化と標準化","各病院が独自のフォーマットで管理している電子カルテ情報を、「HL7 FHIR」などの国際的な医療データ標準規格を用いて構造化・クラウド化。医療機関間でのシームレスな情報共有や、災害時のデータバックアップ体制を確立します。","HL7 FHIR: 医療情報をシステム間で安全かつスムーズに交換するための、国際的なデータ標準化ルールのひとつ。"
"ヘルスケア・製薬・ライフサイエンス","PHR（パーソナルヘルスレコード）の普及","個人の健康診断結果、予防接種歴、日々の歩数や睡眠データ（Apple Health等との連携）をスマートフォンアプリで一元管理するシステム。蓄積されたデータに基づき、発病リスクの予測や個別の健康指導（予防医療）を行うサービス基盤の構築。","PHR（パーソナルヘルスレコード）: 個人が自身の医療・健康情報を電子的に収集・管理するための仕組みや記録データ。"
"ヘルスケア・製薬・ライフサイエンス","遠隔医療・オンライン診療の定着","5Gネットワークの高精細映像と超低遅延技術を活用し、都市部の専門医が地方のへき地にある病院の診察をサポートする遠隔診断システムや、ロボットアームを用いた遠隔手術支援に向けた技術的な実証およびセキュアな通信環境の整備。","超低遅延技術: データの送受信にかかるタイムラグ（遅延）を極限まで短くする技術。遠隔手術などリアルタイム性が命に関わる場面で必須となる。"
"ヘルスケア・製薬・ライフサイエンス","デジタルセラピューティクス（DTx: 治療アプリ）","従来の医薬品（ハード）ではなく、認知行動療法などの医学的エビデンスに基づいたソフトウェア（アプリ）を用いて、不眠症や高血圧、禁煙治療などを行う新たな治療法の開発と、その効果を測定・管理するバックエンドシステムの構築。","デジタルセラピューティクス（DTx）: 病気の予防、管理、治療を目的として、科学的根拠に基づいて開発されたソフトウェアやアプリのこと。"
"ヘルスケア・製薬・ライフサイエンス","RWE（リアルワールドエビデンス）の活用","厳格に管理された治験データではなく、レセプト（診療報酬明細書）や実際の電子カルテなど、日常の医療現場から得られる大規模なリアルワールドデータを匿名化・データベース化し、市販後の医薬品の安全性評価や新たな適応症の発見に役立てる分析基盤。","レセプト（診療報酬明細書）: 医療機関が健康保険組合などに対して、患者に行った診療の内容や費用を請求するための明細書。"
"ヘルスケア・製薬・ライフサイエンス","医療従事者の働き方改革（DX）","医師の長時間労働を是正するため、音声認識AIを用いた電子カルテの自動入力システムや、事前に患者がスマートフォンで入力できるAI問診票の導入。また、院内の検体やカルテの搬送を自動化するロボット制御システムの導入。","音声認識AI: 人間の話し声をマイクなどで拾い、その内容をAIが解析してデジタルのテキストデータに変換する技術。"
"ヘルスケア・製薬・ライフサイエンス","ゲノム医療と個別化医療","次世代シーケンサーから得られる患者個人の膨大な遺伝子情報（ビッグデータ）をクラウド上で高速に解析し、その遺伝子変異に最も効果的で副作用の少ない抗がん剤などの治療法を特定する、高度なバイオインフォマティクス・プラットフォームの構築。","バイオインフォマティクス: 生物学のデータを、情報科学や統計学の手法を使って解析・研究する分野。生命情報科学。"
"ヘルスケア・製薬・ライフサイエンス","医療サプライチェーンの効率化","RFIDタグやブロックチェーン技術を活用し、厳密な温度管理が必要なバイオ医薬品やワクチンの製造から病院に届くまでの流通過程（コールドチェーン）を改ざん不可能な形でトラッキング・証明するシステムの導入。","コールドチェーン: 製品の生産から消費まで、所定の低温状態を保ったまま流通させる仕組み。医薬品や生鮮食品の輸送で用いられる。"
"エネルギー・インフラ","次世代送配電網（スマートグリッド）の構築","太陽光や風力など天候に左右されやすい再生可能エネルギーの大量導入に伴い、電力網にIoTセンサーを配置して送配電データをリアルタイムで収集・分析。AIが需給バランスを予測・制御し、大規模停電（ブラックアウト）を防ぐ高度な電力網システムの構築。","スマートグリッド: ITを活用して電力の需要と供給を自動的に最適化し、効率的で安定した電力供給を行う次世代の電力網。"
"エネルギー・インフラ","設備の予知保全（スマートメンテナンス）","老朽化が進む鉄塔、橋梁、送電線などの社会インフラに対し、ドローンで撮影した高解像度画像やセンサーデータをAIで解析し、サビや亀裂の兆候を自動検知。目視点検のコストを削減し、重大な事故が起きる前に補修計画を最適化するシステム。","ドローン: 遠隔操作や自動制御によって無人で飛行する小型の航空機。人が立ち入れない高所などの点検に活用される。"
"エネルギー・インフラ","VPP（仮想発電所）とデマンドレスポンス","各家庭の太陽光パネルやEV（電気自動車）の蓄電池など、地域に分散する小規模なエネルギーリソースをIoTネットワークで束ね、あたかも1つの巨大な発電所のように統合制御する技術。電力需給が逼迫した際のピークシフトに活用するための基盤整備。","VPP（仮想発電所）: 点在する小規模な発電設備や蓄電池をITで一括制御し、一つの発電所のように機能させる仕組み。 / ピークシフト: 電力の消費ピーク時間帯を避けて電気を使うこと。"
"エネルギー・インフラ","MaaS（Mobility as a Service）の推進","鉄道、バス、タクシー、シェアサイクルなど複数の移動手段の運行データと予約・決済APIを統合。ユーザーが一つのアプリ上で目的地までの最適なルート検索からシームレスな決済までを完結できる、地域交通のプラットフォーム構築。","MaaS（Mobility as a Service）: マイカー以外のすべての交通手段を1つのサービスとして捉え、シームレスに連携させる移動の概念。"
"エネルギー・インフラ","エネルギーデータの活用（CIS刷新）","顧客情報システム（CIS）を柔軟なクラウドアーキテクチャに刷新し、全世帯に普及したスマートメーターから得られる30分ごとの電力使用データを活用。ライフスタイルに合わせたダイナミックな料金プランの提供や、家電ごとの消費電力推定サービスの実現。","スマートメーター: 通信機能を持ち、電力の使用量をデジタルで計測・送信できる次世代型の電力量計。"
"エネルギー・インフラ","カーボンフットプリントの可視化","企業や家庭での電力・ガス使用量データを自動で収集し、それに伴うCO2排出量をリアルタイムでダッシュボードに可視化するアプリケーションの開発。利用者の環境意識を啓発し、省エネ行動や再生可能エネルギーメニューへの切り替えを促進します。","カーボンフットプリント: 商品の原材料調達から廃棄までのライフサイクル全体を通して排出される温室効果ガスを、CO2排出量に換算して表示する仕組み。"
"エネルギー・インフラ","洋上風力発電などの運用DX","海上に設置されアクセスが困難な洋上風力発電施設に対し、タービンの回転データや気象データを取得してデジタルツインを構築。陸上のコントロールセンターからリモートで監視・制御を行い、メンテナンス船の出動回数を最適化するシステムの導入。","デジタルツイン: （製造業と同様）風車などの物理的な設備をデジタル空間上にリアルタイムに再現し、シミュレーションや遠隔監視を行う技術。"
"エネルギー・インフラ","ブロックチェーンによるP2P電力取引","家庭の太陽光で発電した余剰電力を、電力会社を介さずに、ブロックチェーン上のスマートコントラクトを用いて地域内の別の個人や企業へ直接、安全かつ自動で売買（P2P取引）できる新たな電力取引プラットフォームの実証と構築。","P2P（Peer to Peer）取引: 中央の仲介業者を通さず、個人や端末同士が直接データをやり取りしたり取引したりする通信・取引モデル。"
"エネルギー・インフラ","現場作業のデジタル化と安全性向上","インフラ設備の危険な保守・点検現場において、作業員にスマートグラスとバイタルセンサーを装着させ、熟練技術者が遠隔からマニュアルの投影や音声でリアルタイムに作業指示を行うシステム。作業者の体調急変や転落事故なども検知し安全管理を強化します。","バイタルセンサー: 心拍数、血圧、体温など、人間の生命活動に関する生体情報（バイタルサイン）を測定・取得するセンサー。"
"エネルギー・インフラ","重要インフラのサイバーセキュリティ強化","電力やガス、鉄道の運行を司る制御システム（OT）がランサムウェア等のサイバー攻撃を受けると社会機能が停止してしまうため、ITネットワークとの境界防御の強化や、制御システム特有の通信プロトコルを監視する専用のSOC（Security Operation Center）体制の構築。","ランサムウェア: 感染したシステムのデータを暗号化して使えなくし、元に戻すことと引き換えに身代金（ランサム）を要求する悪意のあるソフトウェア。"